CSV Datei
file,total_count,rRNA_count,ratio
QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam,10261215.59,8885260.28,0.865907182445233
QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam,14799122.010000002,12776356.89,0.8633185726401076
QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam,42304325.7,40020923.47,0.9460243794879821
QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam,15742430.75,15020225.200000001,0.9541236317650628
QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam,14459036.88,13863700.4,0.9588259933949349
QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam,11893466.65,10056948.03,0.8455859276319574
QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam,13801503.690000001,12899267.340000002,0.9346276775150433
QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam,15415026.170000002,12959960.680000002,0.8407355613331404
QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam,17751221.49,16857949.45,0.9496782776045459
QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam,15589355.979999999,13463447.02,0.8636307386445351
QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam,13416052.840000002,11279958.510000002,0.8407807157980752
QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam,16422288.729999999,15763614.21,0.9598914298226446
QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam,16767126.59,14039467.52,0.8373210188782859
QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam,16900623.2,14973078.09,0.8859482820728173
QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam,13390718.620000001,13264584.49,0.9905804808853491
QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam,12174068.129999999,7112720.53,0.5842517434638342
QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam,12657228.92,11052998.45,0.8732557908101736
QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam,15798766.299999997,15369586.55,0.9728346035474937
