# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "GCF_000203835.1_ASM20383v1_genomic_combined.gtf" "-s" "2" "-O" "-M" "--fraction" "-t" "transcript" "-g" "locus_tag" "--extraAttributes" "gene_name" "-o" "counts.txt" "--minOverlap" "10" "--fracOverlap" "0.9" "QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam" "QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam" "QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam" "QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam" "QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam" "QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam" "QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam" "QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam" "QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam" "QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam" "QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam" "QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam" "QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam" "QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam" "QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam" "QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam" "QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam" "QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	gene_name	QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam	QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam	QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam	QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam	QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam	QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam	QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam	QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam	QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam	QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam	QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam	QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam	QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam	QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam	QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam	QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam	QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam	QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam
SCO0001	NC_003888.3	446	1123	+	678	NA	3	3.50	3	3.50	0.50	1	0	2.50	0.50	3	4	2.50	5	1.50	0.50	8.50	2	0
SCO0002	NC_003888.3	1252	3813	+	2562	NA	11	10	25	5	4	19	3.50	19.50	7.50	12.50	28	6	14	6.50	2.50	52.50	13	3
SCO0003	NC_003888.3	3869	6220	+	2352	NA	13	16	18.50	4	5	16.50	2.50	21	11.50	11.50	21	4	18.50	11.50	1	61	17	4
SCO0004	NC_003888.3	6226	7173	+	948	NA	33.50	162.50	81	51	22	23	23.50	189	98.50	41.50	80	41	136	111.50	1.50	231.50	50	24
SCO0005	NC_003888.3	7187	9307	+	2121	NA	9	57.50	51.50	26	12	14.50	13.50	67	30	23.50	48.50	20.50	44.50	45.50	2.50	122	42.50	6.50
SCO0006	NC_003888.3	9304	10410	+	1107	NA	0	5.50	3.50	1.50	1.50	2.50	0	6.50	3.50	3	10	2.50	6.50	1	0	17.50	4	0
SCO0007	NC_003888.3	10554	11000	-	447	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0008	NC_003888.3	11010	11360	-	351	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0009	NC_003888.3	11617	11952	-	336	NA	0	0	2.50	1.50	0	0	1.50	2	0	0	1	0	1.50	0	0	0.50	3	0
SCO0010	NC_003888.3	12366	13457	+	1092	NA	71	91	76	54.50	25.50	177	46	184.50	66	101.50	216.50	50	131	107	4.50	760.50	132	17.50
SCO0011	NC_003888.3	13214	14023	-	810	NA	20	32.50	30	8	6.50	23.50	15	26.50	18	30.50	32.50	12.50	35.50	23.50	1.50	104	29	3.50
SCO0012	NC_003888.3	14044	14454	-	411	NA	37.50	38.50	68	36.50	16	76.50	16	76.50	30	49	74	18	75	44	7.50	264.50	63	6
SCO0013	NC_003888.3	14739	15029	-	291	NA	0	0.50	1.50	0	0	0	1.50	2	0.50	1	0.50	0.50	1	0	0	0	1	0
SCO0014	NC_003888.3	15317	15595	-	279	NA	18	16.50	65	8.50	10	18	14	16.50	7	13	20.50	7	21.50	13	2	61	15	2.50
SCO0015	NC_003888.3	16070	17302	-	1233	NA	4.50	0	0.50	0	0	1.50	1	1	0	1.50	0.50	0	2	0.50	0	4.50	1	0
SCO0016	NC_003888.3	17715	17918	+	204	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.50	0	0
SCO0017	NC_003888.3	17919	18263	+	345	NA	0	0	0.50	0	0	0.50	0	0	0	1	0	0	0.50	0	0	1	0	0
SCO0018	NC_003888.3	18485	19351	-	867	NA	24.50	35	71.50	17.50	21.50	68.50	28	89	30.50	63	105.50	15	90.50	47.50	3	239.50	79	4.50
SCO0019	NC_003888.3	19517	19771	-	255	NA	0	1	1	0	0	0	0.50	1.50	0	0	0	0	1.50	0	0	2	0	0
SCO0020	NC_003888.3	19974	21620	+	1647	NA	56.50	40.50	88	25.50	16.50	85	31	79.50	29	56.50	79.50	16.50	68	65	2.50	256.50	61	13.50
SCO0021	NC_003888.3	21617	22210	+	594	NA	0	24	23	6	10	0	0	29	4	0	21	4	0	0	4	63	12	4
SCO0022	NC_003888.3	22156	22761	-	606	NA	0	0	7	0	1	0	0	6	0	0	4	0	0	0	0	6	1	0
SCO0025	NC_003888.3	22843	23061	+	219	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
